PD#PN;PageRank;InDegree;OutDegree
KD.KK.007;0.0004197462543168826;4;9
LD.AA.002;0.00037761272405005027;3;3
LD.AA.003;0.0005230525903897598;4;6
LD.AA.008;0.0015835726451259705;12;8
LD.AA.010;0.0005704388480142755;5;5
LD.AA.011;0.0004392906952315902;4;7
LD.BB.003;0.0008206745407778509;7;17
LD.CC.003;0.0006444195709356245;5;10
LD.CC.006;0.0003357979124625494;3;5
LD.DD.002;0.00045544092758465036;5;10
LD.DD.003;0.001018148796421227;6;8
LD.DD.004;0.0003034799696826083;2;12
LD.EE.004;0.0009723644392677955;6;8
LD.GG.005;0.0009106321933574987;5;6
LD.GG.007;0.0005742832895944376;3;10
LD.GG.010;0.0009082436601050074;4;10
MR.AA.003;0.0003362028448510915;5;8
MR.AA.009;0.0002257925160052902;2;7
MS.CC.002;0.00021039882127517857;1;0
MS.CC.003;0.00021039882127517857;1;0
MS.CC.004;0.00021039882127517857;1;0
MS.CC.005;0.00021039882127517857;1;1
MS.CC.007;0.00021039882127517857;1;2
MS.CC.008;0.00021039882127517857;1;0
MS.CC.009;0.00021039882127517857;1;0
PD.CC.000;0.00022150378134703222;2;11
PS.AA.003;0.0012798990997999343;8;10
PS.AA.005;0.0006310136606661483;5;2
PS.CC.007;0.0010765797212349093;9;2
PS.FF.001;0.0009087354817943799;5;3
PS.II.004;0.00044970940733318537;4;4
PS.II.005;0.00039625989037472804;3;2
PS.II.006;0.00030069935094351457;2;3
PS.II.012;0.0004055488720550803;3;7
PS.JJ.002;0.0005045885229594163;4;6
QD.BB.001;0.00039730532416431944;2;2
QD.CC.001;0.003450265025487674;11;8
QD.CC.002;0.0009884835880308608;4;3
QD.DD.001;0.0015296162118966213;4;4
QD.DD.002;0.0013342928331170672;5;5
QD.DD.003;0.0014631359901844;5;5
QD.DD.004;0.0013342928331170672;5;3
SI.AA.004;0.0003967412020132722;4;18
SI.AA.008;0.0006116796276212159;5;2
SI.BB.004;0.0013807609780605726;6;8
SI.BB.007;0.0007957567871142174;4;4
SI.CC.004;0.0011323288581592964;7;11
SI.CC.005;0.0008693774189638763;5;5
SI.CC.006;0.0008161318474974404;5;11
SI.DD.002;0.0010177172643547996;7;4
SI.DD.003;0.0008281539862098975;4;3
TL.CC.004;0.0003821922654303738;4;5
TL.CC.008;0.0006783194118554104;5;6
TL.CC.009;0.0003110618974873881;3;8
TL.DD.007;0.0008948568834552484;6;7
TL.EE.013;0.0002506373353365481;3;3
TL.FF.003;0.0002882969153133792;3;8
TL.FF.004;0.00031892800073883044;4;10
TL.FF.005;0.00046350028975205215;3;14
TL.GG.006;0.0006122464987956863;3;10
TL.GG.011;0.0004454058746609155;4;14
TL.HH.009;0.0004386422018886526;3;11
TL.JJ.004;0.000734032236975966;9;7
TL.JJ.005;0.0003493189069211156;4;9
TL.JJ.010;0.00030910035179415303;4;11
TL.KK.003;0.0004193081689679136;3;9
TL.KK.004;0.000689998039764674;5;8
TS.AA.003;0.0011810352567062116;7;4
TS.AA.008;0.00032993185240628704;2;4
TS.AA.012;0.00032993185240628704;2;0
IS.CC.001;0.0007116940736561555;5;11
KD.HH.001;0.0004889019644326613;4;15
KD.CC.002;0.00038437843947468765;3;4
KD.CC.003;0.0003128664393318389;2;3
KD.CC.004;0.00029677327676341206;2;6
KD.CC.005;0.00025365050414074034;1;5
KD.CC.006;0.0003334121588874645;2;9
KD.CC.007;0.0003752132476777865;2;4
KD.CC.009;0.0004410746524208338;3;6
PS.BB.001;0.002257306705874844;16;12
KD.FF.022;0.00034037514523576777;1;3
LD.EE.001;0.0003891615308912953;2;4
PS.CC.001;0.001114695094991525;7;6
KD.LL.001;0.00020903450053948164;0;2
PS.EE.007;0.0007128168503917835;5;9
PD.AA.000;0.00020903450053948164;0;16
PS.BB.002;0.00036895017431315765;1;8
PS.BB.003;0.0008233703760356352;3;8
PS.BB.005;0.00036895017431315765;1;4
PS.BB.007;0.000712336932447133;4;5
PS.BB.008;0.00036895017431315765;1;3
PS.CC.005;0.000638363210975576;3;7
PS.EE.003;0.0005322623452098161;2;2
PS.EE.005;0.0004065902863210431;1;2
PS.EE.006;0.0004065902863210431;1;3
PS.EE.009;0.0004739290055307012;2;5
PS.FF.002;0.0008071592598206245;3;5
PS.FF.004;0.00046713909176730045;1;2
PS.GG.003;0.0004771356069829438;3;8
PS.GG.014;0.0003249391466657389;1;4
PS.GG.018;0.0006095536654066559;3;8
PS.GG.021;0.00041613782764129346;2;9
PS.GG.005;0.0005356180810541758;4;6
QD.BB.003;0.0011529201705609358;4;2
TL.FF.001;0.00020903450053948164;0;5
TL.II.005;0.00020903450053948164;0;7
TL.LL.002;0.00042433557088585706;2;6
TL.LL.003;0.000505918807410057;3;12
