PD#PN;PageRank;InDegree;OutDegree
BC.AA.001;0.00043291347610107745;3;4
KD.FF.010;0.0010591991398124854;12;8
TL.EE.009;0.0016078703991003003;12;11
BD.FF.004;0.0006522612637136689;5;17
CH.AA.000;0.0019514163458007774;19;22
DD.AA.005;0.0012426778429254026;7;7
HB.AA.000;0.004224472468205882;25;19
KD.FF.003;0.004380499083060903;38;31
KD.GG.001;0.0013700453614658593;10;9
KD.JJ.001;0.0011746549336159881;7;15
KD.JJ.009;0.0020533467046023254;15;11
KD.LL.002;0.0017725738427643385;18;11
MS.CC.001;0.000373653824329732;2;0
PS.BB.009;0.002887514770757845;26;10
PS.DD.007;0.0015706523363662964;13;9
QD.CC.003;0.0018096051238838534;7;2
SI.AA.010;0.005054121904912342;34;7
BD.HH.003;0.003014585546916211;20;10
KD.AA.001;0.0008176340561357196;6;12
KD.AA.002;0.000681162393694168;5;3
TL.KK.001;0.0012481979776904825;9;7
BD.DD.005;0.0009402085317940893;6;6
CH.BB.002;0.0018996704368390966;10;4
FT.HH.001;0.0007478197887851214;9;466
HB.AA.015;0.003003852887009248;13;7
BA.AA.000;0.0006110781064387558;7;18
BA.AA.001;0.0002401306678696692;2;13
BA.AA.002;0.0009378202051084818;7;8
BA.AA.003;0.0004556804163015697;5;9
BA.AA.004;0.0008154323734812728;8;14
BA.AA.005;0.0006914705881507655;8;11
BM.CC.002;0.00035130844488367915;5;5
BM.CC.003;0.0008442566567297917;7;10
CH.AA.004;0.0009006086286249468;9;11
ER.EE.002;0.0013770638044584501;7;2
ER.EE.003;0.0013235733229504548;8;10
ER.EE.005;0.0005382014817443252;4;6
ER.EE.006;0.0006102165994001749;6;2
ER.EE.007;0.0005382014817443252;4;7
IS.BB.001;0.0013803937036472125;13;11
MR.AA.002;0.00029632373210309427;3;11
PS.CC.002;0.001515020711091001;15;11
DS.FF.004;0.0018843873137760281;15;6
ER.BB.003;0.0008120691952432822;5;2
KD.JJ.002;0.0006646496398722797;7;11
PS.GG.006;0.0006870797023651642;7;11
PS.II.007;0.0021753071873312027;20;12
TL.II.002;0.003544834127960434;33;14
TL.II.007;0.002396990681933373;19;12
TL.II.008;0.003795383578904705;34;13
CH.BB.001;0.0032338741509303115;22;5
CH.BB.003;0.0014008813350363685;14;11
CH.BB.004;0.001153057249064519;6;3
IS.CC.004;0.0032823721054098436;30;7
TL.II.010;0.0007686784423275849;5;6
IS.BB.002;0.0012177509759807906;10;9
TL.II.006;0.0006268114798946341;4;10
CH.BB.005;0.0014123081839841766;8;6
CH.BB.006;0.0014798390680821046;11;8
IS.BB.003;0.0009318389714845063;6;4
IS.BB.004;0.0018337926229737467;13;3
KD.LL.003;0.0009389270036793937;10;5
PS.II.003;0.0006781904039015458;7;7
ER.CC.001;0.003774259547540012;28;12
IS.BB.010;0.0013431033102945817;9;12
KD.JJ.006;0.0028369863440589065;26;5
PS.EE.004;0.00046004625403964065;2;2
BC.AA.002;0.000354548251998484;2;2
BC.AA.003;0.0005903602005676185;4;5
BC.AA.004;0.0008445172617542534;7;5
BC.AA.005;0.000354548251998484;2;2
BC.AA.006;0.0013693157832645106;8;1
KD.HH.008;0.0006399401002951482;8;7
SI.AA.000;0.0016941117720979935;7;29
MR.AA.005;0.0005563156723842079;4;6
TL.EE.005;0.0013660482252559436;15;6
BD.AA.000;0.0002439747622743242;2;30
BD.AA.001;0.00024251559349468277;5;58
BD.AA.002;0.0004463857721768408;5;32
BD.AA.003;0.0010751035939304341;6;10
BD.AA.005;0.0020217000186990657;22;14
BD.AA.006;0.0017724968241782896;13;4
BD.AA.008;0.0019766666224323138;12;9
BD.AA.009;0.00048056749617746803;5;11
BD.AA.010;0.000217311419740043;2;12
BD.GG.001;0.001127186049160884;9;3
BD.GG.002;0.0006962412828979054;5;3
BD.GG.003;0.001625687231815202;7;8
BD.GG.004;0.000709545298089693;4;8
BD.HH.002;0.0014353922701732759;7;32
BD.HH.007;0.0010399931361003067;4;8
BD.II.003;0.0005798417263474814;5;16
BD.II.004;0.0010881829567688638;9;13
BD.II.005;0.0006605311788173778;8;14
BD.II.006;0.00038697635990724293;3;7
CH.AA.002;0.00029363487939811913;3;2
DD.AA.000;0.00021258834117013315;1;7
DP.BB.001;0.00024387687970616728;2;5
HB.AA.013;0.0014693697578314617;10;8
HB.AA.014;0.0012679501441739377;10;14
HB.AA.016;0.0032081142912796534;19;8
HB.AA.018;0.006582198208197404;29;19
KD.DD.001;0.0017106039983662514;16;4
KD.EE.001;0.002867007081920341;15;8
KD.FF.001;0.004483244911696149;37;29
LD.BB.001;0.000459175568907126;7;11
LD.GG.003;0.003433112266077832;22;12
MR.AA.000;0.000271577256091489;4;15
PS.EE.001;0.0025555352680879666;24;11
PS.II.001;0.0013809155924197837;13;13
PS.JJ.001;0.0005040711162739378;4;4
SI.AA.002;0.0022023839315117506;11;13
SI.AA.005;0.0036945675028736964;27;3
TL.DD.001;0.00021258834117013315;1;7
TL.DD.006;0.0007572415313810974;13;21
TL.EE.001;0.00043806001517790905;3;13
TL.EE.012;0.003028478706384607;9;24
TL.GG.001;0.0007181713999318201;5;11
TL.HH.001;0.0009150126796535266;7;11
TL.II.001;0.0007635500116424856;12;21
TS.AA.001;0.0025725970594097053;17;4
TS.AA.002;0.0025534996313293905;15;4
BD.JJ.003;0.0020393086667315004;14;4
DP.AA.000;0.00022088223591398414;1;6
DS.JJ.001;0.0007343862739016119;4;5
HB.AA.001;0.0004107839636756182;3;6
KD.AA.000;0.0010074299385307024;7;68
KD.EE.003;0.001035504674518059;10;11
LD.CC.002;0.0003871376687601825;5;3
MS.CC.006;0.001186278359373731;9;2
PD.BB.000;0.0014036729750777316;16;0
SI.CC.002;0.001748320490342628;10;11
TL.AA.000;0.00022088223591398414;1;4
TL.CC.005;0.003995613583622869;37;4
TL.GG.004;0.004714346315376896;34;12
LD.AA.004;0.0012380689257327942;12;12
LD.EE.002;0.0038378964587457744;30;15
TL.CC.002;0.003911725000886957;31;12
TL.DD.004;0.00036992901389523497;4;10
DS.DD.001;0.004067306813080318;28;51
KD.FF.005;0.0012096166893438606;12;8
PS.GG.016;0.0016332662106160769;16;3
DS.JJ.005;0.0009659066272885375;7;2
SI.CC.003;0.0022432775904459206;21;14
TL.GG.008;0.0006595244851423139;5;19
DP.AA.004;0.0012967010306752025;7;13
DS.KK.004;0.001797325392378187;14;4
BD.JJ.001;0.000996125791647068;7;13
MR.AA.008;0.0006041546432281334;5;8
TL.EE.004;0.0025170834676226765;17;12
KD.EE.004;0.00135892758706045;12;14
TL.EE.003;0.005664525108146551;44;22
TL.EE.006;0.004320227041907595;35;11
BM.AA.002;0.002218052803796025;16;15
PS.AA.002;0.0011936180982571036;8;19
TL.GG.007;0.002151510437249793;21;10
BD.BB.002;0.00064082120866489;2;2
BD.BB.003;0.0009571615482353147;6;5
BD.BB.004;0.0012509161572197387;7;5
BD.BB.005;0.0005451031070440896;2;9
BD.BB.006;0.0005451031070440896;2;9
BD.DD.001;0.0006389689112611839;2;5
BD.EE.001;0.0006256505899712352;5;6
QD.AA.001;0.0010695319401855731;5;5
LD.FF.004;0.000976659122047425;11;4
PS.BB.004;0.001875032648192487;12;9
SI.AA.012;0.0007084724725636863;8;4
TS.AA.013;0.0029029713016828773;19;5
LD.GG.006;0.0006259491510508814;4;7
BD.CC.003;0.0015663346803592951;9;3
BD.CC.004;0.0014963094022669725;4;4
BD.CC.006;0.0008930403493622985;5;7
BD.CC.007;0.000748866369509318;6;8
DS.BB.007;0.002801923327083689;13;3
BD.DD.002;0.0006762927009430503;6;7
BD.DD.003;0.0004882253307687955;4;7
BD.DD.004;0.00045124669339702056;2;8
BD.DD.006;0.0005971921841124492;5;5
DS.KK.007;0.003714855874766131;21;11
KD.KK.004;0.0004619308500740956;5;11
CH.AA.005;0.000517138860457531;5;9
KD.BB.007;0.004438947446995486;37;22
DD.AA.002;0.00036951887346415544;3;5
PS.DD.005;0.0022344565540541495;24;13
BD.EE.002;0.0002979230593582466;1;7
BD.EE.003;0.0003318613191906229;2;7
BD.EE.004;0.0003189358630650074;3;8
ER.HH.001;0.001220361233874647;8;3
DS.BB.009;0.001533528894678408;13;7
DS.CC.002;0.0006297371933912753;7;3
DS.CC.003;0.0004988923835952592;5;4
PS.AA.007;0.0010411990206191583;9;10
DP.BB.006;0.0006380815304696469;6;2
ER.BB.002;0.0015011736952786;10;4
SI.AA.003;0.0006760620990199232;5;5
SI.CC.001;0.0024193484622366166;16;5
BM.CC.001;0.0003174889976045276;3;13
DP.AA.005;0.0006537475992994649;7;25
BD.FF.002;0.00040316024158602886;2;5
BD.FF.003;0.00043028070038487776;3;6
DS.KK.001;0.00038564979542475336;2;5
DS.KK.008;0.00038564979542475336;2;7
DS.JJ.003;0.0010599722706597032;9;6
DS.KK.002;0.0011570154409230534;9;7
TL.BB.005;0.0020555041244943555;15;11
TL.CC.006;0.002943448114484682;19;10
TS.AA.007;0.0006107962927865698;4;0
